outcome,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,"on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year",article_id
group,propSig,paramSizesNormed,Rs,adjRs,pvalues,propSig_CentralVars,paramSizesNormed_CentralVars,pvalues_CentralVars,propSig,paramSizesNormed,Rs,adjRs,pvalues,propSig_CentralVars,paramSizesNormed_CentralVars,pvalues_CentralVars,
,,,,,,,,,,,,,,,,,
0,0.125,0.11960302829223414,0.03859907466302426,0.02896097014836785,0.42994211777272134,0.125,0.11960302829223413,0.42994211777272134,0.3125,0.16732718767915547,0.07954921622567268,0.06951021653897238,0.4082731225961294,0.3125,0.14840440150330578,0.39275239999173694,2207
1,0.5625,0.27845133182232557,0.11505279667248403,0.10618114551130597,0.18106597329299948,0.5625,0.27845133182232557,0.1810659732929995,0.1875,0.14457629369798444,0.06000702402824554,0.04975488523100746,0.38313189327935243,0.1875,0.1317181045294287,0.3600031477742396,2207
2,0.3333333333333333,0.14385355028137986,0.009961574713383103,0.006027647195688046,0.4099960848137923,0.3333333333333333,0.14385355028137986,0.4099960848137923,0.3333333333333333,0.22417508621657264,0.014825810468435452,0.011129096811656525,0.2207961374787111,0.3333333333333333,0.20930447877628694,0.1908761224975155,2430
3,0.0,0.11482141675436175,0.005974924906051671,0.0020251563957446317,0.41177446125679795,0.0,0.11482141675436175,0.41177446125679795,0.5,0.1702924414227538,0.013631298762400323,0.009930102885336023,0.32806825802198025,0.5,0.16821739853838494,0.27609158079117824,2430
4,0.5,0.2939445510845649,0.03992615491094864,0.036111291950329916,0.3586148642816871,0.5,0.2939445510845649,0.3586148642816871,0.5,0.324550801844606,0.0324563220336882,0.028825764142632493,0.297363834541324,0.5,0.36670497730480106,0.2107469132970392,2430
5,0.5,0.30173976745195913,0.04015330406093609,0.03633934367972136,0.35997841240061845,0.5,0.30173976745195913,0.35997841240061845,0.5,0.3115887232860214,0.024818090957317573,0.021158871786425615,0.23878718551351077,0.5,0.3090627280778351,0.2209063751495027,2430
6,0.5,0.3256986522028697,0.045933302123747244,0.04214230862225221,0.3522040904058236,0.5,0.3256986522028697,0.3522040904058236,0.5,0.380458043009872,0.03915158522586426,0.03554615027361596,0.18012434085055026,0.5,0.3810766377119586,0.16582597699179943,2430
7,0.3333333333333333,0.31679970258572865,0.010692840284801775,0.006761818458118962,0.17372087905917435,0.3333333333333333,0.31679970258572865,0.17372087905917435,0.16666666666666666,0.15513234776230422,0.008135986540564466,0.0044141703549754885,0.29027960759447186,0.16666666666666666,0.16455432320659957,0.19900571944284337,2430
8,0.16666666666666666,0.44281433925553243,0.009453265669515765,0.0055173183807853965,0.2607707153443351,0.16666666666666666,0.44281433925553243,0.2607707153443351,0.16666666666666666,0.13728119284983145,0.0061951460781962675,0.002466047189183751,0.35341287205987043,0.16666666666666666,0.13355571571544317,0.2958250665204133,2430
9,0.5,0.5208352655186602,0.08928484209159138,0.0856661063648031,0.19512648873935579,0.5,0.5208352655186602,0.19512648873935579,0.6666666666666666,0.3526846318273286,0.040806302307147435,0.03720707642462251,0.1358283599294662,0.6666666666666666,0.4011375401611483,0.015590879448841865,2430
10,0.6666666666666666,0.3469032287803188,0.04902730523581744,0.045248605786423424,0.23318799315751035,0.6666666666666666,0.3469032287803188,0.23318799315751035,0.5,0.35464478701577823,0.05978773137717319,0.056259730369207506,0.16119928291434138,0.5,0.3913080609633231,0.07369776869526794,2430
11,0.3333333333333333,0.2176582870436509,0.0312567692663791,0.02740745841578196,0.2971034729223951,0.3333333333333333,0.2176582870436509,0.2971034729223951,0.5,0.3111629268388933,0.02400710896535818,0.020344846710068643,0.22854547254545154,0.5,0.300948628744688,0.21928050680488825,2430
12,0.3076923076923077,0.14739475203210667,0.3543542471454564,0.3431853918066552,0.3514234186062639,0.3181818181818182,0.15578957594337106,0.3244885385522202,0.38461538461538464,0.17147907684228164,0.29045045775531775,0.2776480371457676,0.327349427715316,0.4090909090909091,0.14973869211997703,0.29398129999972616,6197
13,1.0,0.1564191434319203,0.024466948431987157,0.023754880511134502,5.730039372203749e-09,1.0,0.1564191434319203,5.730039372203749e-09,1.0,0.1631695191913505,0.026624291993139204,0.025981799776632952,1.627809437949808e-10,1.0,0.1631695191913505,1.627809437949808e-10,5096
14,0.1111111111111111,0.23039836410839992,0.19871824077644562,0.18369420779100398,0.36882881218270885,0.12,0.24652680974550725,0.3748748037297572,0.2962962962962963,0.17882273928676698,0.15987865853114447,0.14749695753788072,0.364491212741936,0.28,0.17476289112734375,0.337623777350386,3323
