,Rs,adjRs,Intercept,C(REGION)[T.2.0],C(REGION)[T.3.0],C(REGION)[T.4.0],C(REGION)[T.5.0],C(REGION)[T.6.0],C(REGION)[T.7.0],C(REGION)[T.8.0],C(REGION)[T.9.0],AGE,INCOM16,RES16,INCOME,EDUC
ABDEFECT,0.03862151821691251,0.03037750748922108,1.3397373082346942,0.026978512877084256,0.07882184551573529,0.09963188119748805,0.0774915971613454,0.03588496851463725,0.04780683652702657,0.06705401034967895,0.009417380640430696,0.000288542811440637,-0.03352474603139435,-0.0005253894566250316,-0.007711969896593663,-0.008728530500818104
ABNOMORE,0.08400312823598788,0.07614827379473965,1.8278740208325002,0.13060439149610972,0.22189501611535603,0.20326977271545893,0.19579557857059332,0.2938700685044093,0.2738097678677656,0.15526177880251046,0.05613710633253544,0.0004981847998247698,-0.028017025260769258,-0.02273145684832751,-0.010133692203524709,-0.021766134289046675
ABRAPE,0.06054658898496634,0.05249059007784529,1.517835834790629,-0.005806654791656373,0.08060499885851884,0.07755345323893835,0.07947500950980016,-0.013047512063947091,0.1196818139383338,0.030927264072904057,-0.003926026026768518,-0.0011389612318382133,-0.03332139984670157,-0.009950603266413513,-0.011735692268884806,-0.01115026191825156
ABPOOR,0.06574672860254505,0.05773532192169606,1.824805864193831,0.06586766754600604,0.17059304793205363,0.16459200666013848,0.1386826660053557,0.16355873789565847,0.18409708296099533,0.06451100316602966,-0.010085133847447029,-0.0004188251749475244,-0.039739438390074,-0.025811426639762564,-0.004520276680950485,-0.01900359530711493
ABSINGLE,0.0823939664607326,0.07452531313882582,1.9658538689437417,0.13283859689044,0.20318001634385974,0.16160241881303822,0.19919855898183408,0.19201234683826757,0.22681798716387258,0.12839891776408965,0.02360457452929881,-0.0018005843659115734,-0.04015449730010529,-0.036129184566345646,-0.013250271389300029,-0.017064532990600102
ABHLTH,0.03391164203649066,0.0256272431885185,1.1890541189470687,-0.007213754416324539,0.02657922469397304,0.03155134807835221,0.03436350946947692,0.08795653918248064,-0.01839244545753246,-0.019843801955206967,-0.005006956968587983,0.001057133462515714,-0.020414449935636795,0.0031233587430966976,-0.004078881144769863,-0.006522210477237443
PREMARSX,0.158210900443156,0.1509923923334996,3.8254160129000248,-0.15146827351538128,-0.3711889394072532,-0.5139253690841057,-0.5880265985691842,-0.7756925887232182,-0.5955666790669442,-0.3411930191845476,-0.06344280758969317,-0.023882844141405814,-0.0194444214310673,0.064307880328354,0.0012906927640998758,0.008348257400495065
XMARSEX,0.0767974164055194,0.06888077155939254,1.697070118114303,-0.33467879631288106,-0.3657127241201531,-0.39031777073055457,-0.4185655076730632,-0.5177418020379707,-0.5291525644393872,-0.5718220564141296,-0.22931852731177152,-0.00689961129931878,0.007256301787599596,0.03288366548496606,-0.0012890809189359711,0.02562864959574278
HOMOSEX,0.1362959122347691,0.12888947876448675,1.9638306022301548,-0.3890422390205848,-0.3462691585956815,-0.5190579584722471,-0.532928306059554,-0.6822213237175008,-0.8680928534690466,-0.3175291163022406,-0.05719729126214123,-0.011281058370055237,-0.050052735214844275,0.09303504921406107,-0.022308277944316175,0.05364141700612667
SPKATH,0.22923627670626512,0.22262682525321853,1.4856760127629394,0.0986037493670767,0.06806989286828526,0.13855045059991336,0.15712204129843063,0.2820330184243383,0.26474570870927633,-0.05138495418709559,-0.023957283713064274,0.00743402181586191,-0.013414187925686369,-0.032589760725624854,-0.010453888014468508,-0.02703468226625723
COLATH,0.18714646589965134,0.18017608598981982,4.497856820981722,0.11781232042711158,0.16820447838462324,0.2357243493352491,0.1913350817044146,0.2851609947977944,0.28524900644659607,0.11656782056454733,0.09265484419604982,0.008045260425672846,-0.020796258198031485,-0.029980144373535314,0.004507330537966433,-0.025848020046288556
LIBATH,0.17741061469516684,0.17035674793463718,1.440833626762427,-0.06026248786938909,-0.07655845640267411,-0.11716831785850017,-0.17068582560841766,-0.3064507065381576,-0.2509972204420548,-0.028416697554733087,-0.059905740349902224,-0.0057414655994035705,0.002971312301625264,0.027215158529443565,0.008954187456998204,0.030324526666635515
SPKRAC,0.08332579684661645,0.07546513415466782,1.4410274326163923,0.14123982140996663,0.06336010821054969,0.15290363024857456,0.16445745617062146,0.12618936183859034,0.24400215542622428,-0.053127024424759785,0.013457193543716033,0.003512504065579912,0.007333314614770332,-0.010018657966667753,-0.006529898745424505,-0.01979507707025973
COLRAC,0.05032327988168417,0.04217961407592019,4.440199950250114,0.10316785556537159,0.10748014611887187,0.15670064118794885,0.16278555696201522,0.176539679054911,0.17622192880946638,0.07376592192374427,0.01667458086803557,0.00383566111880355,-0.00825431278168887,-0.017598250467234906,0.009585879067672404,-0.01234445543598295
LIBRAC,0.08214435237721118,0.07427355856514228,1.377420526879327,-0.027483760181105824,-0.020309980887648908,-0.018626688541584686,-0.10091903076475495,-0.2539567277790768,-0.1590971475849946,0.05290169270349553,-0.042616123173432385,-0.002347016259133038,0.019703436133534678,0.018139942932720452,0.005112604437330994,0.022089057803959665
SPKCOM,0.1986265165302188,0.1917545803263222,1.7239047738157562,0.14332455284754028,0.10148534661073705,0.07144170372575624,0.1704633666851375,0.331231250659112,0.24962261384328446,0.032327537087752316,0.0032881820626417665,0.004832009568562011,-0.0011662379709745023,-0.03861079089877612,-0.01389749213832541,-0.03292224155566737
COLCOM,0.1397762177978079,0.1323996286364434,4.569197146420143,-0.24477548108973876,-0.25088646150653093,-0.2211936054364786,-0.24904567668138744,-0.3908850518768004,-0.31257567455387764,-0.3245993051805127,-0.20667526384211266,-0.006299857260211524,-0.0034427440890907636,0.020612142076046485,8.271826288016425e-06,0.02625550737605777
LIBCOM,0.18962798410851145,0.18267888370838647,1.2338739740446505,-0.03704890896676455,-0.03572847287707021,-0.1101751257761031,-0.11583334631995489,-0.2683420817614517,-0.14196547200246218,-0.049716176496627754,-0.04656036329541757,-0.005287281538249698,0.013626659007812791,0.026635492387601458,0.013516707304615821,0.03500013979018787
SPKMIL,0.17180890517665048,0.16470700264848182,1.5923793795768588,0.16352078230319905,0.12057587293370145,0.1781082293285434,0.16327723426175406,0.3169791007827344,0.2837667036799167,-0.03562023173182643,0.08971879246664327,0.005900093505126145,-0.0020728481499429634,-0.021384745505267446,-0.0074001396210828865,-0.03249033512136671
COLMIL,0.13330851378575959,0.12587646278260312,4.556583005698528,0.026588398838963793,0.05058174693958256,0.058961438074485964,0.055654059075559426,0.1818953556175947,0.1346608244544838,0.049416277410144815,-0.027100472019680907,0.007233808552520854,-0.007758103012929788,-0.006556000106193772,0.004144460162627872,-0.02312660422968147
LIBMIL,0.15700031641531453,0.14977142730805793,1.3556821013896954,-0.0020207674891038097,-0.03108143417129483,-0.08882361545039007,-0.11339146331356063,-0.1977412891600602,-0.15734910263912932,-0.0034782748269271122,-0.038370052295596944,-0.00549547569904101,0.006674004341942671,0.010558325987146636,0.0072802933477254346,0.03423241069865973
SPKHOMO,0.18558486552597475,0.17860109458391504,1.5045657444288305,0.15995312965195593,0.1364783555582039,0.15383588615785015,0.2018688704117036,0.402260424249357,0.32775946851363735,0.05236300727514432,0.04769108835286032,0.004541286763509656,0.017739381586933636,-0.03852914785661109,-0.012117572502167783,-0.028527028033175514
COLHOMO,0.1957487067168847,0.18885209272435133,4.550109696568334,0.13778462268319328,0.12839389128520015,0.16817988912547277,0.1889300207189929,0.4072866543190582,0.3302455151979187,0.20750945893982636,0.05039115581468637,0.006084377734981433,0.01851720830358946,-0.03080917699105472,-0.009576771952624942,-0.031575952824236274
LIBHOMO,0.16473745494127168,0.15757491332797113,1.38127985316835,-0.09017042888777514,-0.0783467545287255,-0.12063205553629802,-0.1457366950089638,-0.2584969042298289,-0.2893797565960674,-0.055071389538607164,-0.03544421940599689,-0.0050653797089667205,0.002626674880581689,0.033046018466359094,0.005569236177715453,0.03154685628351153
RACSCHOL,0.11558483810276654,0.10800080307330473,1.1391329905471597,-0.001751472134712883,0.0047446063898826,0.017133436310244027,0.12287920442619796,0.29447030829601567,0.08262262041785849,0.010407475141698205,0.009389326019283366,0.0022800174917278946,0.023588737936550228,-0.004639242898326275,0.00163049998597762,-0.01907162943667071
RACPRES,0.11209462540165571,0.10448066110760645,1.1022877551445402,0.05648006396617941,0.08356972127221486,0.10221265479956633,0.14966632873439753,0.2824156733273094,0.15202829048211644,0.010814352046415916,0.048126538081533346,0.004237864607864116,0.03817087425206081,-0.009108769184640667,-0.006029830500841727,-0.016302921018174685
RACMAR,0.22694066599299734,0.22031152922380792,1.680563254963066,-0.07248525736906425,-0.07183602253691676,-0.09914303330546748,-0.24771765817899483,-0.37217988850159583,-0.15469473811754836,-0.0528991430605935,-0.019789013971456212,-0.005444526872510794,-0.023324159786745336,0.023338746337886292,0.008610146764204329,0.027111332896271222
RACDIN,0.0942645414044363,0.08649768061173024,2.351082702930431,-0.035916924002816125,-0.05541761075876788,-0.1273643591799277,-0.13782838191662644,-0.5172725587269346,-0.153937498641692,-0.045709192075666774,-0.005429675260471296,-0.0031537444683072025,-0.01784249890331472,0.03694045221380891,0.0066903023254403435,0.031007448223076124
RACSEG,0.14048777859194184,0.13311729120519722,2.3629731544973738,-0.019451168311357434,-0.1471448531991152,0.03472905371179869,-0.22555309891371736,-0.6437942140921228,-0.3011054756171067,0.2224645335743973,0.08242604549497984,-0.010175200515264837,-0.046701593482222276,0.05508426281741055,0.014484173354876824,0.05816621784406805
