,Rs,adjRs,Intercept,C(RACE)[T.2.0],C(RACE)[T.3.0],C(SEX)[T.2.0],C(MARITAL)[T.2.0],C(MARITAL)[T.3.0],C(MARITAL)[T.4.0],C(MARITAL)[T.5.0],C(REGION)[T.2.0],C(REGION)[T.3.0],C(REGION)[T.4.0],C(REGION)[T.5.0],C(REGION)[T.6.0],C(REGION)[T.7.0],C(REGION)[T.8.0],C(REGION)[T.9.0],CHILDS,AGE,INCOME,DWELLING,EDUC,RACDIS,SIZE,DWELOWN,RES16,PRESTG80
SPKATH,0.10367201216826982,0.08948960729751454,1.4434109137347981,0.05534239942587796,0.12533825097871198,0.031999953617794966,0.006104132337469186,-0.09982053229137501,-0.02693752963940191,-0.02462502038297178,0.0271071769653147,0.06895557500412812,0.051891606222215655,0.041063590342571094,0.12586732982597487,0.028052226144456592,0.004310789714923191,0.007322318273742189,-0.001992690223786683,0.0029155328603645146,-0.010732716312132184,-0.007241793252561228,-0.010529996808467453,0.011097023887869482,-3.5978148944389423e-06,0.0037565405059930643,-0.0031874624150783383,-0.0021535522583751845
LIBATH,0.09038551726067745,0.07599288304011842,1.518494325731954,-0.08830145588045185,-0.03837587902669769,-0.01600680050228051,0.022557029904641486,0.08760498890153894,0.023461492590038092,0.02105551700805501,-0.04196095727409049,-0.099219059166685,-0.031204871991367115,-0.08388696025004545,-0.06447070584900691,-0.0891156568295083,-0.020401632093423706,-0.010680462243907268,-0.0057840561956365825,-0.0016855889394953778,0.010321086853926565,-0.001181752130248545,0.012515089999867827,-0.023590674031762376,1.4086849361829843e-06,-0.012821562004442746,0.016244916156077576,0.0015222425397188515
SPKRAC,0.0509667621770129,0.035950413477282006,1.5314522834351771,0.06946148596066778,0.06072195391362458,0.05504806723076226,-0.025110790001698736,-0.0846278723186434,0.027690686156634357,-0.03473354079960324,0.07626253561425785,0.07622675841911769,0.13385603538408336,0.03284546258929172,0.10621847332693546,0.014155473534189689,0.025663526803689322,0.048165670521673795,-0.002669155738943746,0.0014051168050780824,-0.008188520910670759,0.0003153422307708879,-0.009834487767080414,0.006708141561688577,-3.690779929408447e-06,-0.011779210228589104,-0.0030623553682321497,-0.001490356483666625
LIBHOMO,0.08660935213592247,0.072156968467187,1.4275662636150699,-0.011985236085020721,0.00016474365709929942,0.010052592873848479,0.0428410553047565,0.06848421612217116,0.013943288506104663,0.026736294125013618,-0.0195053967187853,-0.07314310717525027,-0.04463894117350052,-0.04600475602738003,-0.10706996106358348,-0.09219289244525031,-0.06669891405421069,-0.03789261439383171,-0.004406414844788747,-0.0020029030310334327,0.0040499444837652715,-0.004091427865117845,0.01548805752937253,-0.0015575058350121946,1.223222890155599e-05,0.003893787095981183,0.01627529618101235,0.002408668491975312
COLATH,0.09863770088690904,0.08437563919208158,4.572417073625305,0.05380371140871241,0.07531313667247372,0.028518648120620962,-0.009726666864843293,-0.04600282893253976,0.05232410590107324,-0.012329517856559247,0.055272983618766106,0.09643047777677372,0.08018786926055463,0.06521243419545461,-0.010070146530916558,0.059333068095760055,0.07401527210782803,0.01410561350539247,-0.004700338503879806,0.004273475518213588,0.0012622874847747633,-0.00691347021516461,-0.018310317709647944,-0.006211158446916227,-6.163580918857976e-06,0.004897136056784211,-0.013847848287118414,-0.0016863770077345354
FEPRES,0.0456075873190297,0.030506441548761143,1.0771133396925407,-0.029693675664395576,0.005415262673655081,-0.008251972965189591,-0.0043187805057376865,-0.026194219945395288,-0.01708460700883731,-0.015707362562969146,0.0332737459441868,0.06426391276965535,0.07657770687778481,0.044763338128159365,0.06093916288664524,0.05888016775474186,0.006098911649761099,0.027738511165800662,-0.0009826064833772146,0.0019099896097816002,-0.001136181489023159,-0.000128949150920164,-0.006220191662851337,-0.00789119643198056,1.4629192782554635e-06,0.0019043014788172332,-0.0011290437719093354,0.00017644820146779406
XMARSEX,0.06465115948113498,0.04985133605520353,1.4923015980295669,0.02549961655971204,0.17686923248863629,-0.03124533171904738,0.008998526420661377,0.17224244886878037,0.18279233176129353,0.06470242147368126,-0.14761606473644678,-0.30241810102580774,-0.3752600577601079,-0.27996765079908625,-0.1399337431758593,-0.28436122092030836,-0.18345248808462772,-0.21468152244198482,-0.002504398366081749,0.0005409160313021721,-0.010709162690962403,0.0030377842828466506,0.011922146675702289,-0.02762710464649328,2.4823507318281872e-05,-0.05340701608449075,0.030227681419835697,-0.0006224625013749934
HOMOSEX,0.11521234783349898,0.10121254321061124,1.3862077777830895,-0.17677620840381336,-0.027705477667984063,0.09243650035724149,-0.029605164266486364,0.21730318311071237,0.038292088880372804,0.24920436157123707,-0.17570367652891242,-0.30765594623953324,-0.5954494213392069,-0.3372094998233301,-0.48093246925439576,-0.4511140866369052,-0.2585119079044691,-0.15908903026052965,-0.017680312617629337,-0.004220468597181539,0.0028252663877813694,0.008902832070194454,0.038397915288680515,-0.015423584922743663,-2.6850363777769198e-05,-0.03517980931505416,0.05909369685574493,0.004921719725097118
PREMARSX,0.13009549639932305,0.11633118463348946,2.680483298416869,0.005604927190011626,-0.22833159101869074,-0.13674768249946537,0.09348438248689102,0.2774527856338842,0.3579743976584988,0.12452786069918603,-0.05395692479507493,-0.31219798614854577,-0.42048219848152585,-0.3237117668630149,-0.4889301876931087,-0.5108509358178078,-0.3468482929369659,-0.20520562214674115,0.015511560258532866,-0.011723282537116209,0.002156118821113522,0.01330033422137566,0.02154682024020279,0.04506769021995549,-7.982729613555762e-06,0.17134235724938499,0.06605218627575798,0.0006886860399111768
FEHOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,
